"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_FALSE_softplus_softplus_all",0.618866869093285,0.573463415177829,0.604765991450001,0.651542862627017,0.60916253245718,0.594949369910553,0.597645215104499,0.627889632748265,0.580937139145753,0.570460930530394
"gerlang_TRUE_softplus_softplus_all",0.60840110948296,0.558483738399128,0.59506286319622,0.644407131954674,0.604029004365042,0.582712039235119,0.593744109566677,0.625313781824076,0.578575729893773,0.571515493452321
"gerlang_relax_FALSE_softplus_softplus_all",0.589623452889014,0.554340340420049,0.578624118130765,0.621883401880379,0.584675092815834,0.569019780078394,0.578849025085878,0.601834443492788,0.55620441158996,0.548772096219178
"gerlang_relax_TRUE_softplus_softplus_all",0.584367836702666,0.54017241455161,0.568912233794879,0.616524091402351,0.579491591667286,0.5557948170938,0.574701157858096,0.599013314744789,0.55597903787754,0.553254559309214
"free_upper_tri_FALSE_softplus_softplus_all",0.572071833836312,0.544381677657576,0.570025932976521,0.605434649711288,0.565090855188117,0.560890774271503,0.574522486026634,0.580426716625378,0.54399304565771,0.528078196141445
"free_upper_tri_TRUE_softplus_softplus_all",0.566461204810913,0.53031500834358,0.559526693171257,0.600322839814458,0.558263726370651,0.548005761426358,0.56774992127592,0.577339457918117,0.541110207191237,0.531396959839797
"uniform",0.709562841530055,0.709289617486339,0.715755919854281,0.707832422586521,0.709653916211293,0.714298724954463,0.717577413479053,0.714981785063752,0.719262295081967,0.713449508489723
"persistence",0.836065573770492,0.846994535519126,0.868852459016393,0.896174863387978,0.819672131147541,0.830601092896175,0.85792349726776,0.830601092896175,0.863387978142076,0.879356568364611
"empirical_dist",0.68899887255636,0.693677615821845,0.716585604729125,0.72586961275012,0.704932871287006,0.706553808507891,0.692641383476,0.707123564960525,0.675656405669369,0.68017950862506
"empirical_dist_corr",0.620606647763422,0.621285185553901,0.649465548156851,0.64643168109354,0.634230646633934,0.637788971495251,0.632909810867487,0.641225634152155,0.616679359148455,0.610112666819817
"empirical_dist_smart",0.540132648249019,0.541406996898943,0.563906059663009,0.569222087168947,0.540761554396221,0.542148293808618,0.548822533875241,0.542342716617845,0.534706010280963,0.533606532926288
"olr",0.626809564167198,0.61041727210662,0.643729665508945,0.652654398381907,0.624570988014703,0.629763175663872,0.618705358195603,0.633666250126191,0.615384000748212,0.60582528513126
"olr_cov",0.618526532783356,0.600784986471628,0.639114154809209,0.652156448630788,0.622464867744772,0.625353382989952,0.616348768589517,0.635974708241671,0.614744804781645,0.606084859119987
"opr",0.629045414718816,0.618033513515716,0.649642875448828,0.656042773182594,0.631287308050251,0.636682046181011,0.623904115170982,0.637198527115115,0.618644388527529,0.61202120712519
"opr_cov",0.620603586387657,0.608873840666777,0.644378994136874,0.654708953530741,0.627897022215025,0.631867113319233,0.620491632023449,0.638810548212021,0.616954100208825,0.611114731407101
"ocllr",0.651602671354837,0.651030505002336,0.680201267967189,0.682376493832512,0.66162674685093,0.668226395325101,0.655216577970053,0.663204913229528,0.64203457544775,0.637011101809157
"ocllr_cov",0.644265186170865,0.642812849322501,0.675399090968771,0.678411867510575,0.656362670542512,0.663046373408854,0.650843494997814,0.663983821339271,0.640634296592451,0.635959165821682
"obs",0,0,0,0,0,0,0,0,0,0
