"s1","s2","t","MBT.norm","speed.norm","profil.norm","steel.norm","invRad.norm"
3,3,0.923287671232877,0.420530099972448,0.578947368421053,0.655172413793103,0.3,0.63
3,5,2.91506849315068,0.420530099972448,0.736842105263158,0.655172413793103,0.3,0.248684210526316
3,4,2.4986301369863,0.510951888281492,0.447368421052632,0.862068965517241,0.3,0.364175181750392
1,1,0.115068493150685,0.510951888281492,0.447368421052632,0.862068965517241,0.3,0.494449865661373
3,3,1.76438356164384,0.420530099972448,0.421052631578947,0.655172413793103,0.3,0.427894172036097
1,4,2.32328767123288,0.420530099972448,0.421052631578947,0.862068965517241,0.3,0.378
4,4,0.361643835616438,0.290645376347627,0.736842105263158,0.862068965517241,0.75,0.378
3,5,1.54520547945205,0.515767998234882,0.368421052631579,0.862068965517241,0.75,0.187872763419483
1,1,0.731506849315068,0.420530099972448,0.421052631578947,0.862068965517241,0.3,0.375253146964222
3,3,2.15068493150685,0.420530099972448,0.578947368421053,0.482758620689655,0,0.0236381664587175
3,3,0.679452054794521,0.420530099972448,0.578947368421053,0.862068965517241,0.3,0
2,2,1.96164383561644,0.11705866117103,0.473684210526316,0.655172413793103,0.3,0.232758620689655
2,4,3.26575342465753,0.11705866117103,0.289473684210526,0.482758620689655,0,0
1,5,1.63287671232877,0.11705866117103,0.342105263157895,0.482758620689655,0,0.128571428571429
2,2,0.991780821917808,0.11705866117103,0.552631578947368,0.655172413793103,0.3,0.2
2,2,2.86575342465753,0.11705866117103,0.552631578947368,0.655172413793103,0.3,0
4,4,0.635616438356164,0.11705866117103,0.552631578947368,0.482758620689655,0,0.135
2,2,3.20547945205479,0.116438667725067,0.289473684210526,0.482758620689655,0,0
2,2,3.94794520547945,0.116438667725067,0.289473684210526,0.482758620689655,0,0
2,2,2.87123287671233,0.116438667725067,0.5,0.655172413793103,0.75,0
2,2,1.89041095890411,0.116438667725067,0.5,0.482758620689655,0,0
4,4,0.753424657534247,0.116438667725067,0.315789473684211,0.482758620689655,0,0
3,3,1.36438356164384,0.0953861832781977,0.578947368421053,0.482758620689655,0,0.192857142857143
2,2,0.980821917808219,0.111185434984655,0.394736842105263,0.482758620689655,0.3,0.240764331210191
2,2,2.03287671232877,0.111185434984655,0.394736842105263,0.482758620689655,0.3,0.240764331210191
2,2,0.980821917808219,0.111185434984655,0.394736842105263,0.482758620689655,0,0.240764331210191
2,2,0.980821917808219,0.111185434984655,0.394736842105263,0.482758620689655,0,0.240764331210191
2,2,3.98356164383562,0.111185434984655,0.421052631578947,0.655172413793103,0.75,0.55425219941349
2,3,1.47123287671233,0.111288414632778,0.473684210526316,0.655172413793103,0.3,0.0931034482758621
1,3,2.01643835616438,0.111305034936974,0.578947368421053,0.482758620689655,0,0.0945
2,4,3.92602739726027,0.111516671766985,0.473684210526316,0.482758620689655,0.3,0
2,2,3.89315068493151,0.108612268539453,0.263157894736842,0.482758620689655,0.3,0
1,3,1.23287671232877,0.100540092972589,0.289473684210526,0.482758620689655,0.3,0
3,3,0.734246575342466,0.112300326882655,0.368421052631579,0.482758620689655,0.3,0
2,4,0.0958904109589041,0.112300326882655,0.368421052631579,0.482758620689655,0.3,0
3,4,3.07671232876712,0.112158631861438,0.105263157894737,0.655172413793103,0.3,0
2,5,0.112328767123288,0.112158631861438,0.315789473684211,0.655172413793103,0.3,0
4,5,0.350684931506849,0.111896512293713,0.210526315789474,0.482758620689655,0.3,0.4725
3,4,1.08219178082192,0.102788761327322,0.210526315789474,0.482758620689655,0.3,0.222352941176471
3,5,1.86575342465753,0.111760866549542,0.263157894736842,0.655172413793103,0.75,0.642857142857143
3,3,3.83561643835616,0.130438276407811,0.578947368421053,0.482758620689655,0.3,0
2,2,0.69041095890411,0.130438276407811,0.578947368421053,0.482758620689655,0.3,0.634228187919463
2,3,3.63561643835616,0.130438276407811,0.210526315789474,0.482758620689655,0.3,0.236545682102628
2,2,3.20821917808219,0.131871272411828,0.289473684210526,0.482758620689655,0.3,0.364161849710983
2,2,1.17808219178082,0.1313435659254,0.421052631578947,0.482758620689655,0.3,0.0935643564356436
4,4,0.279452054794521,0.1313435659254,0.289473684210526,0.655172413793103,0.75,0.78099173553719
1,4,2.02739726027397,0.130829613940411,0.289473684210526,0.655172413793103,0.3,0
2,2,1.02739726027397,0.130829613940411,0.289473684210526,0.655172413793103,0.75,0.265822784810127
2,2,1.02739726027397,0.130829613940411,0.289473684210526,0.655172413793103,0.75,0.265822784810127
2,3,0.232876712328767,0.130829613940411,0.289473684210526,0.655172413793103,0.75,0
1,2,3.2986301369863,0.130829613940411,0.447368421052632,0.482758620689655,0,0.129452054794521
2,2,0.997260273972603,0.0668929393676433,0.578947368421053,0.655172413793103,0.75,0
1,3,1.24109589041096,0.0668929393676433,0.578947368421053,0.655172413793103,0.75,0
2,4,1.08493150684932,0.0253638210948551,0.289473684210526,0.655172413793103,0.3,0.444705882352941
2,2,1.08493150684932,0.0253638210948551,0.289473684210526,0.655172413793103,0.3,0.444705882352941
5,5,0.147945205479452,0.159291381333421,0.210526315789474,0.655172413793103,0.75,0
2,3,1.24109589041096,0.0366194641916729,0.421052631578947,0.482758620689655,0,0.444705882352941
2,3,1.12602739726027,0.15597920276125,0.157894736842105,0.655172413793103,0.3,0
2,3,1.12602739726027,0.15597920276125,0.157894736842105,0.655172413793103,0.3,0
1,3,3.12602739726027,0.15597920276125,0.157894736842105,0.655172413793103,0.3,0
2,4,1.12054794520548,0.15597920276125,0.289473684210526,0.655172413793103,0.75,0.04725
2,4,1.18904109589041,0.15597920276125,0.289473684210526,0.655172413793103,0.75,0.04725
2,2,1.0958904109589,0.15597920276125,0.289473684210526,0.655172413793103,0.75,0.04725
2,2,0.819178082191781,0.1546697133935,0.157894736842105,0.655172413793103,0.75,0.63
2,2,0.819178082191781,0.1546697133935,0.157894736842105,0.655172413793103,0.75,0.63
2,2,2.01643835616438,0.1546697133935,0.210526315789474,0.655172413793103,0.75,0
2,2,0.819178082191781,0.1546697133935,0.157894736842105,0.655172413793103,0.75,0
2,2,0.819178082191781,0.1546697133935,0.157894736842105,0.655172413793103,0.75,0
2,2,0.819178082191781,0.1546697133935,0.157894736842105,0.655172413793103,0.75,0
2,2,0.528767123287671,0.1546697133935,0.157894736842105,0.655172413793103,0.75,0.429545454545455
2,2,2.44657534246575,0.1546697133935,0.289473684210526,0.655172413793103,0.75,0
2,2,0.975342465753425,0.1546697133935,0.289473684210526,0.655172413793103,0.3,0.315
2,2,0.578082191780822,0.1546697133935,0.289473684210526,0.655172413793103,0.75,0.315
2,3,1.25479452054795,0.228595866685127,0.473684210526316,0.862068965517241,0.75,0
2,3,1.25479452054795,0.228595866685127,0.473684210526316,0.862068965517241,0.75,0
2,3,1.25479452054795,0.228595866685127,0.473684210526316,0.862068965517241,0.75,0
2,3,1.25479452054795,0.228595866685127,0.473684210526316,0.862068965517241,0.75,0
3,3,1.07123287671233,0.11705866117103,0.473684210526316,0.655172413793103,0.3,0
2,5,3.34246575342466,0.11705866117103,0.342105263157895,0.482758620689655,0,0.128571428571429
3,3,0.56986301369863,0.11705866117103,0.289473684210526,0.482758620689655,0,0.155045118949959
1,1,2.01643835616438,0.11705866117103,0.342105263157895,0.482758620689655,0,0.128571428571429
1,1,0.673972602739726,0.11705866117103,0.289473684210526,0.482758620689655,0,0
2,2,1.17808219178082,0.116438667725067,0.394736842105263,0.482758620689655,0,0.233333333333333
3,3,1.10958904109589,0.116438667725067,0.289473684210526,0.482758620689655,0,0.233333333333333
3,4,1.86027397260274,0.116438667725067,0.289473684210526,0.482758620689655,0,0.233333333333333
3,3,2.12876712328767,0.116438667725067,0.289473684210526,0.482758620689655,0,0
4,4,0.136986301369863,0.116438667725067,0.289473684210526,0.482758620689655,0,0.0756
3,4,3.96164383561644,0.116438667725067,0.5,0.482758620689655,0,0
2,2,0.980821917808219,0.116438667725067,0.5,0.482758620689655,0,0
3,4,1.35616438356164,0.116438667725067,0.578947368421053,0.482758620689655,0,0.392931392931393
2,2,0.994520547945206,0.116438667725067,0.578947368421053,0.482758620689655,0,0.392931392931393
