"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_relax_TRUE_log",0.456277830516283,0.401661545968218,0.460504719104797,0.493562247181519,0.451038344210857,0.451647822168545,0.439485299350828,0.465224997603488,0.424282797890268,0.419421367548051
"gerlang_relax_TRUE_rps",0.44974669080164,0.467075891021987,0.458243634110125,0.489515660530587,0.444355824852502,0.447833012337881,0.437152327075032,0.465873476943336,0.423213655838992,0.416139867330279
"gerlang_relax_TRUE_brier",0.453298741571041,0.401058917447668,0.458780484222894,0.48967148618331,0.449742642087842,0.450024623139241,0.440481971505648,0.466373981124644,0.423383348953239,0.417371909889072
"gerlang_relax_TRUE_all",0.453861612668162,0.400668245510202,0.458996061918205,0.49147453735032,0.448814774374691,0.44996920714947,0.438588240117214,0.46489238327226,0.423330568462829,0.417802661764746
"free_upper_tri_FALSE_log",0.454129035206278,0.409206769744161,0.465618359431472,0.49253312619562,0.450692606999005,0.46222823955758,0.446023286566538,0.461794861318105,0.427177787786842,0.4106396671044
"free_upper_tri_FALSE_rps",0.450173898378156,0.410554510572609,0.46667925514976,0.490107242530134,0.449861757360462,0.461235926385654,0.442884439168108,0.461356515728062,0.425457225127031,0.406125721360273
"free_upper_tri_FALSE_brier",0.450457113406851,0.410253873716084,0.466118956875065,0.488815919231826,0.452207021691854,0.461303905493885,0.443441034528089,0.462701552707109,0.424630526741192,0.406924825912633
"free_upper_tri_FALSE_all",0.451798863059411,0.408888067794661,0.464790469400282,0.490670695834097,0.449483719217668,0.461674706811915,0.445083006426979,0.461318515401558,0.426479828548871,0.408870587503903
"free_upper_tri_TRUE_log",0.448749539077476,0.39733989092886,0.454710234761414,0.485509819229783,0.43864008210501,0.448338151148189,0.438042982665753,0.457844580279425,0.421920264479871,0.413512287763583
"free_upper_tri_TRUE_rps",0.443977758685082,0.397791004386709,0.454185074732881,0.484012949049275,0.437207639030121,0.444816615910116,0.434887837390116,0.459133897239086,0.420120869292643,0.408476495184391
"free_upper_tri_TRUE_brier",0.447306793547993,0.397210639162468,0.453839370627713,0.483336345734012,0.632493894256642,0.706735972785432,0.606343260291012,0.45915459282424,0.422192854491413,0.410154869823706
"free_upper_tri_TRUE_all",0.446913628640106,0.397131377099194,0.453862109214878,0.484187650497662,0.437857616608587,0.447155564250305,0.437487896654561,0.457876973240095,0.421395945216716,0.411331942957312
"uniform",0.600591985428051,0.589200913242009,0.612891933028919,0.593059360730594,0.601765601217656,0.617914764079148,0.614939117199391,0.616522070015221,0.599916286149163,0.582452210274791
"persistence",0.743169398907104,0.726027397260274,0.794520547945205,0.841095890410959,0.706849315068493,0.747945205479452,0.723287671232877,0.726027397260274,0.764383561643836,0.760752688172043
"empirical_dist",0.567897837715287,0.564236182846449,0.599401526003927,0.601973469267206,0.576214809295264,0.589924999044057,0.572527749672042,0.591896847039894,0.54865417984445,0.535552471387062
"empirical_dist_corr",0.505594298841721,0.497859669929387,0.536189400256387,0.517368951318681,0.513323738468414,0.532973103000604,0.525365185729875,0.533107145470337,0.500887758185804,0.481789887238473
"olr",0.45653703031542,0.432771660932309,0.480469046185512,0.489515820877872,0.446321752761799,0.468675651581003,0.449087053073043,0.460797543618181,0.43927657389306,0.425151984136891
"olr_cov",0.447336168557782,0.422587275305859,0.474317309410637,0.486765012209252,0.438846183188527,0.459687665509459,0.442097192842758,0.462904593698617,0.437444925302468,0.421970828268713
"obs",0,0,0,0,0,0,0,0,0,0
