"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_FALSE_exp_exp_all",0.618876866709488,0.573453292395592,0.604768392247204,0.651539244396476,0.609169395470485,0.594949180544422,0.597649040361128,0.627896606346757,0.580936077228864,0.570451845510851
"gerlang_FALSE_exp_softplus_all",0.618876866709488,0.573453292395592,0.604768392247204,0.651539244396476,0.609169395470485,0.594949180544422,0.597649040361128,0.627896606346757,0.580936077228864,0.570451845510851
"gerlang_FALSE_exp_square_all",0.618876866709488,0.573453292395592,0.604768392247204,0.651539244396476,0.609169395470485,0.594949180544422,0.597649040361128,0.627896606346757,0.580936077228864,0.570451845510851
"gerlang_FALSE_softplus_exp_all",0.618866869093285,0.573463415177829,0.604765991450001,0.651542862627017,0.60916253245718,0.594949369910553,0.597645215104499,0.627889632748265,0.580937139145753,0.570460930530394
"gerlang_FALSE_softplus_softplus_all",0.618866869093285,0.573463415177829,0.604765991450001,0.651542862627017,0.60916253245718,0.594949369910553,0.597645215104499,0.627889632748265,0.580937139145753,0.570460930530394
"gerlang_FALSE_softplus_square_all",0.618866869093285,0.573463415177829,0.604765991450001,0.651542862627017,0.60916253245718,0.594949369910553,0.597645215104499,0.627889632748265,0.580937139145753,0.570460930530394
"gerlang_FALSE_square_exp_all",0.618876690116992,0.573459570375066,0.6047681270105,0.651541256215856,0.609172467354766,0.594949368054197,0.597648792700872,0.627898083045342,0.580936451370858,0.570451674480081
"gerlang_FALSE_square_softplus_all",0.618876690116992,0.573459570375066,0.6047681270105,0.651541256215856,0.609172467354766,0.594949368054197,0.597648792700872,0.627898083045342,0.580936451370858,0.570451674480081
"gerlang_FALSE_square_square_all",0.618876690116992,0.573459570375066,0.6047681270105,0.651541256215856,0.609172467354766,0.594949368054197,0.597648792700872,0.627898083045342,0.580936451370858,0.570451674480081
"gerlang_TRUE_exp_exp_all",0.608061106475934,0.559462127730658,0.595402353070112,0.644759358896262,0.60414227580649,0.583014936730981,0.594059822437596,0.625301934082916,0.578498291726506,0.572889854863785
"gerlang_TRUE_exp_softplus_all",0.608409214464334,0.558450274191011,0.595036109517499,0.644408065468519,0.604017565203262,0.582728782739917,0.59373972824082,0.625301417368128,0.578593987481662,0.571564002801115
"gerlang_TRUE_exp_square_all",0.620252801875716,0.57551829795181,0.603915831267865,0.64583929991606,0.603731186477828,0.599957234002515,0.605733856044406,0.638353424651991,0.591469932104161,0.593856548760171
"gerlang_TRUE_softplus_exp_all",0.608046430635192,0.559469602022644,0.595404539264725,0.644781261942665,0.604137555861059,0.583026192787569,0.594053668071428,0.62531065403472,0.57850408737306,0.572894186657834
"gerlang_TRUE_softplus_softplus_all",0.60840110948296,0.558483738399128,0.59506286319622,0.644407131954674,0.604029004365042,0.582712039235119,0.593744109566677,0.625313781824076,0.578575729893773,0.571515493452321
"gerlang_TRUE_softplus_square_all",0.620266977415684,0.575519505250579,0.603915675585811,0.645851430628543,0.603720456914155,0.599965089082908,0.605732748861547,0.638357176763475,0.591468780655844,0.593854889565299
"gerlang_TRUE_square_exp_all",0.608074578814086,0.559468982726863,0.595399557130426,0.644757142326651,0.604130967594814,0.583063456994825,0.594049772279007,0.625306405245871,0.578481379788793,0.572882550934758
"gerlang_TRUE_square_softplus_all",0.608433762686581,0.558486598935779,0.595056585301098,0.644419171546977,0.604043974954032,0.582747834642357,0.593745827599017,0.625294395636421,0.578575473814936,0.571519217894691
"gerlang_TRUE_square_square_all",0.620240014526363,0.575526742351498,0.603911829733616,0.645842463663604,0.603733215656337,0.599940215264832,0.605727127715067,0.63833944009426,0.5914656338231,0.593868272122001
"gerlang_relax_FALSE_exp_exp_all",0.589629566873984,0.55434534151355,0.578625081248796,0.62189010865451,0.58467732848522,0.569015851779371,0.578847098359743,0.601834490454879,0.556202620731441,0.548760581845072
"gerlang_relax_FALSE_exp_softplus_all",0.589629566873984,0.55434534151355,0.578625081248796,0.62189010865451,0.58467732848522,0.569015851779371,0.578847098359743,0.601834490454879,0.556202620731441,0.548760581845072
"gerlang_relax_FALSE_exp_square_all",0.589629566873984,0.55434534151355,0.578625081248796,0.62189010865451,0.58467732848522,0.569015851779371,0.578847098359743,0.601834490454879,0.556202620731441,0.548760581845072
"gerlang_relax_FALSE_softplus_exp_all",0.589623452889014,0.554340340420049,0.578624118130765,0.621883401880379,0.584675092815834,0.569019780078394,0.578849025085878,0.601834443492788,0.55620441158996,0.548772096219178
"gerlang_relax_FALSE_softplus_softplus_all",0.589623452889014,0.554340340420049,0.578624118130765,0.621883401880379,0.584675092815834,0.569019780078394,0.578849025085878,0.601834443492788,0.55620441158996,0.548772096219178
"gerlang_relax_FALSE_softplus_square_all",0.589623452889014,0.554340340420049,0.578624118130765,0.621883401880379,0.584675092815834,0.569019780078394,0.578849025085878,0.601834443492788,0.55620441158996,0.548772096219178
"gerlang_relax_FALSE_square_exp_all",0.589632210832555,0.55433967357419,0.578625137715262,0.621881755317774,0.584678272462162,0.56901692701831,0.578848347809416,0.601833543274685,0.556206166394368,0.548761204902616
"gerlang_relax_FALSE_square_softplus_all",0.589632210832555,0.55433967357419,0.578625137715262,0.621881755317774,0.584678272462162,0.56901692701831,0.578848347809416,0.601833543274685,0.556206166394368,0.548761204902616
