"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_relax_FALSE_brier",5.29428255408747,Inf,6.05415365094664,7.80550356255487,7.56316193839479,6.86045631954903,6.44042093792757,6.40053693204591,4.9162095514998,5.43439945890539
"gerlang_relax_FALSE_all",1.12583685595284,1.02188630629542,1.08687477462499,1.18903425824912,1.08574601572284,1.07460811423352,1.06689454536489,1.14003883136327,1.03930061707966,1.00510474299415
"gerlang_relax_TRUE_log",1.12642371907694,0.994600189170294,1.06810743396998,1.17698998824083,1.06675528347277,1.04588321522519,1.05797962477066,1.13283533473248,1.03172436547638,1.01263933323669
"gerlang_relax_TRUE_rps",1.14441083093456,Inf,1.08680994539682,1.19490031406913,1.07412787192704,1.06154986924543,1.06917570594269,1.16041987758512,1.04046175969937,1.02022754438754
"gerlang_relax_TRUE_brier",1.12264508786105,0.998926193205974,1.07165202785088,1.18155467842121,1.07030232675487,1.0520754250367,1.0661898438864,1.13830669006909,1.03533419708412,1.01651201298686
"gerlang_relax_TRUE_all",1.12619676196012,0.99462654808247,1.06950466060695,1.1796265248537,1.06623665364725,1.04778796622832,1.05966565746249,1.13631709574671,1.03184002330706,1.01288077495664
"free_upper_tri_FALSE_log",1.06587855491269,0.986683552958435,1.04869983120582,1.13406496284039,1.03590462406389,1.0379728869791,1.04019365347807,1.07293123434385,0.996587669113853,0.962447116438627
"free_upper_tri_FALSE_rps",1.49920287930189,1.19920124000305,1.45661762988308,1.463434074791,1.45953911502633,1.28953659981501,1.15862490036014,1.4856112094054,1.27425428838222,1.09126700592028
"free_upper_tri_FALSE_brier",1.25892720153277,1.06663646848603,1.21631182788336,1.29785252004874,1.21416474588584,1.15384516273694,1.09133624749503,1.2702568236495,1.11545569845536,1.00168397036537
"free_upper_tri_FALSE_all",1.06572685043095,0.986811372401822,1.05093789772707,1.13670654342923,1.03712752876462,1.04012742091699,1.03990791200862,1.07518325242577,0.996403950385909,0.959813070937721
"free_upper_tri_TRUE_log",1.06139579470459,0.958350019855575,1.03153044213588,1.12195973833671,1.01170602198348,1.01349362919685,1.0282117699897,1.07155361647645,0.983864199285677,0.966541883046652
