"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"gerlang_FALSE_exp_exp_all",1.22297957542131,1.10296584253379,1.20145148671903,1.36885764718058,1.17311141410294,1.19389891144683,1.15680994485519,1.21850913292324,1.09919153893866,1.09002491798165
"gerlang_FALSE_exp_softplus_all",1.22297957542131,1.10296584253379,1.20145148671903,1.36885764718058,1.17311141410294,1.19389891144683,1.15680994485519,1.21850913292324,1.09919153893866,1.09002491798165
"gerlang_FALSE_exp_square_all",1.22297957542131,1.10296584253379,1.20145148671903,1.36885764718058,1.17311141410294,1.19389891144683,1.15680994485519,1.21850913292324,1.09919153893866,1.09002491798165
"gerlang_FALSE_softplus_exp_all",1.22295274933888,1.10299594739964,1.20144327302544,1.36886895539878,1.17310265191977,1.1938992243678,1.1568128112682,1.21849523198892,1.09920815806025,1.09004531763529
"gerlang_FALSE_softplus_softplus_all",1.22295274933888,1.10299594739964,1.20144327302544,1.36886895539878,1.17310265191977,1.1938992243678,1.1568128112682,1.21849523198892,1.09920815806025,1.09004531763529
"gerlang_FALSE_softplus_square_all",1.22295274933888,1.10299594739964,1.20144327302544,1.36886895539878,1.17310265191977,1.1938992243678,1.1568128112682,1.21849523198892,1.09920815806025,1.09004531763529
"gerlang_FALSE_square_exp_all",1.22297927563933,1.1029814998586,1.20144759169259,1.36885870557926,1.17312015390183,1.1938968283202,1.15680937216731,1.21851868977751,1.09919306825824,1.09002466074334
"gerlang_FALSE_square_softplus_all",1.22297927563933,1.1029814998586,1.20144759169259,1.36885870557926,1.17312015390183,1.1938968283202,1.15680937216731,1.21851868977751,1.09919306825824,1.09002466074334
"gerlang_FALSE_square_square_all",1.22297927563933,1.1029814998586,1.20144759169259,1.36885870557926,1.17312015390183,1.1938968283202,1.15680937216731,1.21851868977751,1.09919306825824,1.09002466074334
"gerlang_TRUE_exp_exp_all",1.2207786160906,1.07532073664744,1.18517986350079,1.36345310612011,1.14874880963248,1.16165848189384,1.1472873130961,1.21821783576303,1.0938477115824,1.08455614443186
"gerlang_TRUE_exp_softplus_all",1.2220831613476,1.07384977415713,1.18461917671833,1.36379206977485,1.14946633239433,1.16186596636711,1.14632304538141,1.2188243638076,1.09423037466415,1.08388740236143
"gerlang_TRUE_exp_square_all",1.28618099251679,1.15201589723668,1.22911461093407,1.40281303683221,1.17755239367662,1.2337957151752,1.18472164104512,1.28208569427381,1.13715296572358,1.1495606858379
"gerlang_TRUE_softplus_exp_all",1.22078568904128,1.07533678451763,1.18518649789115,1.3634539197224,1.1487184950339,1.16168072273501,1.14723805568267,1.21825180595166,1.09384901270895,1.08456790775088
